transaction_id,order_date,sales_amount,quantity,discount,product_id,customer_id,region_id,rep_id,ship_mode
CA-2016-152156,11/8/2016,261.96,2,0.0,FUR-BO-10001798,CG-12520,3,3,Second Class
CA-2016-152156,11/8/2016,731.94,3,0.0,FUR-CH-10000454,CG-12520,3,3,Second Class
CA-2016-138688,6/12/2016,14.62,2,0.0,OFF-LA-10000240,DV-13045,4,4,Second Class
US-2015-108966,10/11/2015,957.5775,5,0.45,FUR-TA-10000577,SO-20335,3,3,Standard Class
US-2015-108966,10/11/2015,22.368,2,0.2,OFF-ST-10000760,SO-20335,3,3,Standard Class
CA-2014-115812,6/9/2014,48.86,7,0.0,FUR-FU-10001487,BH-11710,4,4,Standard Class
CA-2014-115812,6/9/2014,7.28,4,0.0,OFF-AR-10002833,BH-11710,4,4,Standard Class
CA-2014-115812,6/9/2014,907.152,6,0.2,TEC-PH-10002275,BH-11710,4,4,Standard Class
CA-2014-115812,6/9/2014,18.504,3,0.2,OFF-BI-10003910,BH-11710,4,4,Standard Class
CA-2014-115812,6/9/2014,114.9,5,0.0,OFF-AP-10002892,BH-11710,4,4,Standard Class
CA-2014-115812,6/9/2014,1706.184,9,0.2,FUR-TA-10001539,BH-11710,4,4,Standard Class
CA-2014-115812,6/9/2014,911.424,4,0.2,TEC-PH-10002033,BH-11710,4,4,Standard Class
CA-2017-114412,4/15/2017,15.552,3,0.2,OFF-PA-10002365,AA-10480,3,3,Standard Class
CA-2016-161389,12/5/2016,407.976,3,0.2,OFF-BI-10003656,IM-15070,4,4,Standard Class
US-2015-118983,11/22/2015,68.81,5,0.8,OFF-AP-10002311,HP-14815,1,1,Standard Class
US-2015-118983,11/22/2015,2.544,3,0.8,OFF-BI-10000756,HP-14815,1,1,Standard Class
CA-2014-105893,11/11/2014,665.88,6,0.0,OFF-ST-10004186,PK-19075,1,1,Standard Class
CA-2014-167164,5/13/2014,55.5,2,0.0,OFF-ST-10000107,AG-10270,4,4,Second Class
CA-2014-143336,8/27/2014,8.56,2,0.0,OFF-AR-10003056,ZD-21925,4,4,Second Class
CA-2014-143336,8/27/2014,213.48,3,0.2,TEC-PH-10001949,ZD-21925,4,4,Second Class
CA-2014-143336,8/27/2014,22.72,4,0.2,OFF-BI-10002215,ZD-21925,4,4,Second Class
CA-2016-137330,12/9/2016,19.46,7,0.0,OFF-AR-10000246,KB-16585,1,1,Standard Class
